"Name","2018 Population"
"tokyo",38305
"delhi",27928
"shanghai",25888
"beijing",22838
"mumbai",22046
"sao-paulo",21730
"mexico-city",21493
"osaka",20472
"cairo",19846
"dhaka",19580
"karachi",18160
"buenos-aires",15625
"kolkata",15288
"lagos",14842
"istanbul",14741
"chongqing",14528
"guangzhou",14211
"manila",13520
"rio-de-janeiro",13147
"moscow",12404
"tianjin",12220
"bangalore",11171
"paris",11101
"shenzhen",11025
"jakarta",10855
"chennai",10705
"london",10657
"lima",10419
"bogota",10352
"johannesburg",10016
"seoul",9798
"bangkok",9790
"hyderabad",9757
"lahore",9508
"tehran",8699
"chengdu",8321
"wuhan",8151
"ahmedabad",8019
"kuala-lumpur",7456
"riyadh",6859
"santiago",6621
"surat",6387
"madrid",6381
"toronto",6254
"pune",6192
"dar-es-salaam",6041
"barcelona",5401
"yangon",5124
"guadalajara",5068
"alexandria",5040
"ankara",5040
"st-petersburg",5014
"sydney",4626
"nairobi",4410
"brasilia",4383
"melbourne",4377
"medellin",4092
"montreal",4085
"aleppo",3884
"cape-town",3776
"tel-aviv",3774
"rome",3772
"jaipur",3728
"casablanca",3625
"berlin",3605
"lucknow",3445
"busan",3180
"milan",3115
"kanpur",3109
"athens",3046
"surabaya",2948
"lisbon",2943
"abuja",2892
"cali",2755
"manchester",2713
"taipei",2691
"dubai",2689
"vancouver",2597
"accra",2406
"brisbane",2313
"beirut",2272
"bhopal",2254
"pretoria",2248
"hiroshima",2192
"tijuana",2117
"havana",2116
"brussels",2090
"perth",1967
"phnom-penh",1876
"bucharest",1865
"mecca",1856
"hamburg",1854
"vienna",1784
"panama-city",1780
"warsaw",1738
"budapest",1715
"lyon",1651
"marseille",1641
"islamabad",1569
"stockholm",1550
"munich",1481
"sharjah",1442
"calgary",1417
"auckland",1394
"ottawa",1385
"prague",1346
"edmonton",1346
"porto",1318
"kathmandu",1309
"copenhagen",1307
"adelaide",1290
"zurich",1289
"abu-dhabi",1252
"glasgow",1239
"sofia",1237
"dublin",1219
"helsinki",1209
"belgrade",1184
"ho-chi-minh-city",1180
"tripoli",1142
"amsterdam",1117
"cologne",1052
"oslo",1035
"rotterdam",1001
"nice",987
"toulouse",975
"bordeaux",922
"southampton",903
"liverpool",880
"jerusalem",874
"valencia",822
"birmingham",819
"winnipeg",780
"nottingham",774
"hamilton",761
"frankfurt",733
"thessaloniki",732
"sheffield",722
"bali",719
"florence",705
"zagreb",690
"gaza",679
"bristol",670
"the-gold-coast",635
"stuttgart",635
"venice",633
"nantes",630
"belfast",614
"dusseldorf",611
"kingston",596
"riga",596
"leicester",555
"kitchener",514
"brighton",507
"edinburgh",506
"cardiff",484
"canberra",448
"montpellier",429
"halifax",415
"bratislava",393
"wellington",393
"newcastle",387
"stoke-on-trent",383
"coventry",378
"port-moresby",369
"victoria",365
"christchurch",353
"reading",332
"hull",325
"swansea",317
"windsor",315
"sarajevo",313